型號,價格
SF314-57-56K7(PCIe512G),25490
SF314-57G-50MR,26599
SF314-57G-54DY,26599
SF314-57G-55UK,27899
SF314-57G-57BM,28888
SF314-58-55AH,20888
SF314-58-5720,21199
SF314-58G-50GS,23388
SF314-58G-556B,23388
SF314-58-51NL,20900
SF314-58G-52AL,23300
SF313-52G-52A4,29499
SF514-54T-58EB,29999
SF514-54T-754W,33990
SF514-54GT-729E,37900
SF514-54GT-57N3,31599
SF514-54GT-52AB,31599
SF514-54GT-770G,38290
SF514-54GT-50YD,36499
SF514-54GT-5505,32799
SF514-54GT-5709,32799
SF514-54GT-54FU,33499
SF514-54GT-59UX,33499
SF514-54GT-79X2,39199
SF514-54GT-76YC,39199
